# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.56437374E+00  -8.18783629E+00   3.76537449E-01
# Error est. for CH(vbm) CH(cbm) diff =   6.38061991E-01   5.66118544E-01  -7.19434467E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      9  -6.32259381E+00  -5.73867563E+00   5.83918173E-01
     10  -6.48486141E+00  -5.95053890E+00   5.34322513E-01
     11  -6.59932036E+00  -6.11783896E+00   4.81481405E-01
     12  -6.70401360E+00  -6.24892807E+00   4.55085521E-01
     13  -6.79525622E+00  -6.36612399E+00   4.29132226E-01
     14  -6.88859104E+00  -6.46491973E+00   4.23671313E-01
     15  -6.95084129E+00  -6.55103986E+00   3.99801424E-01
     16  -7.00843379E+00  -6.62366506E+00   3.84768726E-01
     17  -7.07003165E+00  -6.68589027E+00   3.84141385E-01
     18  -7.13357645E+00  -6.74254223E+00   3.91034225E-01
     19  -7.18547017E+00  -6.79591218E+00   3.89557985E-01
     20  -7.22102983E+00  -6.84222590E+00   3.78803933E-01
     21  -7.26041699E+00  -6.88371112E+00   3.76705871E-01
     22  -7.29745985E+00  -6.92156772E+00   3.75892137E-01
     23  -7.33269866E+00  -6.95613789E+00   3.76560776E-01
     24  -7.36318082E+00  -6.98831194E+00   3.74868887E-01
     25  -7.39016627E+00  -7.01561877E+00   3.74547503E-01
     26  -7.41283846E+00  -7.04082919E+00   3.72009269E-01
     27  -7.43879604E+00  -7.06520947E+00   3.73586568E-01
     28  -7.45807951E+00  -7.08716297E+00   3.70916542E-01
     29  -7.47622965E+00  -7.10702415E+00   3.69205501E-01
     30  -7.49493543E+00  -7.12563471E+00   3.69300725E-01
     31  -7.51372769E+00  -7.14301134E+00   3.70716343E-01
     32  -7.53000912E+00  -7.15983783E+00   3.70171285E-01
# k =   0.000000   0.200000   0.600000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.14625643E+00  -7.72217223E+00   4.24084206E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.40317040E-01   5.20488016E-01  -1.98290238E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.68052400E-01  -7.02301743E-01   1.65750657E-01
      2  -1.76957367E+00  -1.28738048E+00   4.82193192E-01
      3  -2.87157775E+00  -1.88363821E+00   9.87939542E-01
      4  -5.05625966E+00  -2.33099753E+00   2.72526212E+00
      5  -5.31193787E+00  -4.09043121E+00   1.22150667E+00
      6  -5.62667884E+00  -4.61902761E+00   1.00765123E+00
      7  -5.92884812E+00  -5.18402567E+00   7.44822450E-01
      8  -6.16380558E+00  -5.52449356E+00   6.39312026E-01
      9  -6.36579360E+00  -5.75137726E+00   6.14416346E-01
     10  -6.53494341E+00  -5.96992041E+00   5.65022995E-01
     11  -6.64780869E+00  -6.13150020E+00   5.16308491E-01
     12  -6.75561975E+00  -6.26816144E+00   4.87458311E-01
     13  -6.84803891E+00  -6.38497422E+00   4.63064685E-01
     14  -6.94350739E+00  -6.48720701E+00   4.56300379E-01
     15  -7.00840584E+00  -6.57965921E+00   4.28746629E-01
     16  -7.06789103E+00  -6.65486849E+00   4.13022539E-01
     17  -7.13046859E+00  -6.71764468E+00   4.12823910E-01
     18  -7.19689471E+00  -6.77512037E+00   4.21774341E-01
     19  -7.24964631E+00  -6.82979821E+00   4.19848100E-01
     20  -7.28619299E+00  -6.87905703E+00   4.07135962E-01
     21  -7.32780443E+00  -6.92225347E+00   4.05550963E-01
     22  -7.36607460E+00  -6.96065500E+00   4.05419606E-01
     23  -7.40213329E+00  -6.99450419E+00   4.07629106E-01
     24  -7.43341466E+00  -7.02658613E+00   4.06828532E-01
     25  -7.46122354E+00  -7.05438242E+00   4.06841124E-01
     26  -7.48443991E+00  -7.08048079E+00   4.03959115E-01
     27  -7.51167720E+00  -7.10550805E+00   4.06169155E-01
     28  -7.53173118E+00  -7.12822828E+00   4.03502899E-01
     29  -7.55004453E+00  -7.14784062E+00   4.02203904E-01
     30  -7.56918411E+00  -7.16641351E+00   4.02770600E-01
     31  -7.58893551E+00  -7.18430225E+00   4.04633260E-01
     32  -7.60593939E+00  -7.20168421E+00   4.04255182E-01
# k =   0.000000   0.200000   0.800000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.36773672E+00  -8.20419509E+00   1.63541633E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.93761457E-01   5.86706277E-01  -7.05518033E-03
#    Nb          CH(vbm)          CH(cbm)             diff
