# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.25217795E+00  -8.12153964E+00   1.30638307E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.51090420E-01   5.67850833E-01   1.67604134E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.87910693E-01  -7.06103452E-01   1.81807241E-01
      2  -1.77776525E+00  -1.29749357E+00   4.80271681E-01
      3  -2.70975120E+00  -1.92678269E+00   7.82968507E-01
      4  -4.96731205E+00  -2.26183222E+00   2.70547983E+00
      5  -5.20383073E+00  -4.11667776E+00   1.08715297E+00
      6  -5.50569783E+00  -4.70083925E+00   8.04858581E-01
      7  -5.76170654E+00  -5.07432232E+00   6.87384213E-01
      8  -5.98123350E+00  -5.43535248E+00   5.45881023E-01
      9  -6.15211103E+00  -5.65964568E+00   4.92465356E-01
     10  -6.32357225E+00  -5.82345104E+00   5.00121207E-01
     11  -6.42979407E+00  -5.97660729E+00   4.53186788E-01
     12  -6.51871661E+00  -6.11124802E+00   4.07468592E-01
     13  -6.61510374E+00  -6.23256849E+00   3.82535250E-01
     14  -6.68455344E+00  -6.31890348E+00   3.65649968E-01
     15  -6.74700954E+00  -6.39368557E+00   3.53323968E-01
     16  -6.81803557E+00  -6.45629591E+00   3.61739664E-01
     17  -6.88115754E+00  -6.51827393E+00   3.62883607E-01
     18  -6.92983113E+00  -6.57459605E+00   3.55235079E-01
     19  -6.98148998E+00  -6.62442499E+00   3.57064994E-01
     20  -7.02587882E+00  -6.66952865E+00   3.56350174E-01
     21  -7.05858714E+00  -6.70588780E+00   3.52699344E-01
     22  -7.09655405E+00  -6.74181898E+00   3.54735072E-01
     23  -7.12730077E+00  -6.77440946E+00   3.52891311E-01
     24  -7.15124223E+00  -6.80310617E+00   3.48136055E-01
     25  -7.18200721E+00  -6.83024869E+00   3.51758521E-01
     26  -7.20856476E+00  -6.85483693E+00   3.53727824E-01
     27  -7.23551145E+00  -6.87771569E+00   3.57795764E-01
     28  -7.25369178E+00  -6.89876972E+00   3.54922063E-01
     29  -7.27025845E+00  -6.91538821E+00   3.54870236E-01
     30  -7.28807736E+00  -6.93242987E+00   3.55647484E-01
     31  -7.30402404E+00  -6.94854218E+00   3.55481867E-01
# k =   0.000000   0.250000   0.750000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -7.97804059E+00  -7.75500122E+00   2.23039362E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.04913207E-01   5.14862266E-01   9.94905836E-03
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.62010443E-01  -7.93726763E-01   6.82836807E-02
      2  -1.75852561E+00  -1.38354800E+00   3.74977602E-01
      3  -2.71430855E+00  -2.01330918E+00   7.00999370E-01
      4  -5.00879097E+00  -2.38498881E+00   2.62380216E+00
      5  -5.22436545E+00  -4.20897502E+00   1.01539043E+00
      6  -5.50093410E+00  -4.61512528E+00   8.85808823E-01
      7  -5.79123637E+00  -5.11051892E+00   6.80717446E-01
      8  -6.05257527E+00  -5.56195404E+00   4.90621227E-01
      9  -6.22085157E+00  -5.78459722E+00   4.36254354E-01
     10  -6.40870304E+00  -5.97752046E+00   4.31182580E-01
     11  -6.52355332E+00  -6.15190459E+00   3.71648725E-01
     12  -6.61627637E+00  -6.29178423E+00   3.24492133E-01
     13  -6.72314160E+00  -6.43891855E+00   2.84223045E-01
     14  -6.79921059E+00  -6.53881829E+00   2.60392302E-01
     15  -6.86539486E+00  -6.62288252E+00   2.42512344E-01
     16  -6.94323951E+00  -6.69106948E+00   2.52170037E-01
     17  -7.01209695E+00  -6.75968013E+00   2.52416821E-01
     18  -7.06366980E+00  -6.82157672E+00   2.42093077E-01
     19  -7.12252896E+00  -6.88151521E+00   2.41013749E-01
     20  -7.17092946E+00  -6.93157422E+00   2.39355241E-01
     21  -7.20539245E+00  -6.97297800E+00   2.32414448E-01
     22  -7.24752547E+00  -7.01223491E+00   2.35290558E-01
     23  -7.27936828E+00  -7.04740920E+00   2.31959083E-01
     24  -7.30526979E+00  -7.07902991E+00   2.26239888E-01
     25  -7.34030828E+00  -7.10980327E+00   2.30505008E-01
     26  -7.36927889E+00  -7.13615768E+00   2.33121210E-01
     27  -7.39985117E+00  -7.16247607E+00   2.37375096E-01
     28  -7.41902954E+00  -7.18497514E+00   2.34054391E-01
     29  -7.43630806E+00  -7.20338930E+00   2.32918765E-01
     30  -7.45632889E+00  -7.22252412E+00   2.33804773E-01
     31  -7.47312738E+00  -7.24013896E+00   2.32988420E-01
# k =   0.000000   0.500000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
