# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -6.12051559E+00  -6.23865972E+00  -1.18144130E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.97618350E-01   7.42345810E-01   1.44727460E-01
#    Nb          CH(vbm)          CH(cbm)             diff
    184  -5.07140996E+00  -4.96710779E+00   1.04302167E-01
    185  -5.07218604E+00  -4.96980330E+00   1.02382736E-01
    186  -5.07515656E+00  -4.97991472E+00   9.52418400E-02
    187  -5.08397240E+00  -4.98353781E+00   1.00434584E-01
    188  -5.09278823E+00  -4.98716090E+00   1.05627328E-01
    189  -5.09730382E+00  -4.98794113E+00   1.09362684E-01
    190  -5.10159137E+00  -5.00906164E+00   9.25297339E-02
    191  -5.11208632E+00  -5.01004647E+00   1.02039852E-01
    192  -5.11334193E+00  -5.01227463E+00   1.01067305E-01
    193  -5.11889514E+00  -5.01445835E+00   1.04436789E-01
    194  -5.11960667E+00  -5.01755843E+00   1.02048238E-01
    195  -5.12031820E+00  -5.02065851E+00   9.96596877E-02
    196  -5.12128024E+00  -5.02429207E+00   9.69881742E-02
    197  -5.12362152E+00  -5.02575405E+00   9.78674692E-02
    198  -5.12596281E+00  -5.02721604E+00   9.87467643E-02
    199  -5.12634459E+00  -5.02784675E+00   9.84978429E-02
    200  -5.12646053E+00  -5.02819251E+00   9.82680224E-02
    201  -5.12657647E+00  -5.02853827E+00   9.80382019E-02
    202  -5.12662924E+00  -5.02864883E+00   9.79804131E-02
    203  -5.12668681E+00  -5.02879468E+00   9.78921256E-02
    204  -5.13049985E+00  -5.02917757E+00   1.01322284E-01
    205  -5.13089124E+00  -5.03297859E+00   9.79126475E-02
    206  -5.13128263E+00  -5.03677962E+00   9.45030105E-02
    207  -5.13775814E+00  -5.03787675E+00   9.98813901E-02
    208  -5.14182311E+00  -5.05477000E+00   8.70531030E-02
    209  -5.14256356E+00  -5.05751867E+00   8.50448926E-02
    210  -5.14330401E+00  -5.06026733E+00   8.30366824E-02
    211  -5.14524438E+00  -5.06124027E+00   8.40041110E-02
    212  -5.14580348E+00  -5.06261503E+00   8.31884555E-02
    213  -5.15224088E+00  -5.06783223E+00   8.44086461E-02
    214  -5.15867828E+00  -5.07304944E+00   8.56288365E-02
    215  -5.16288361E+00  -5.07363136E+00   8.92522460E-02
    216  -5.16618805E+00  -5.07541416E+00   9.07738873E-02
    217  -5.16949248E+00  -5.07719695E+00   9.22955284E-02
    218  -5.17102083E+00  -5.08333081E+00   8.76900185E-02
    219  -5.17147128E+00  -5.08562325E+00   8.58480319E-02
    220  -5.17157568E+00  -5.08667541E+00   8.49002752E-02
    221  -5.17239584E+00  -5.08774863E+00   8.46472079E-02
    222  -5.17272565E+00  -5.08890935E+00   8.38163009E-02
    223  -5.17305547E+00  -5.09007008E+00   8.29853941E-02
    224  -5.17335817E+00  -5.09033610E+00   8.30220708E-02
    225  -5.17366086E+00  -5.09060211E+00   8.30587474E-02
    226  -5.17375209E+00  -5.09084876E+00   8.29033258E-02
    227  -5.17376138E+00  -5.09090646E+00   8.28549194E-02
    228  -5.17770230E+00  -5.09149297E+00   8.62093224E-02
    229  -5.18135796E+00  -5.09314658E+00   8.82113781E-02
    230  -5.18199355E+00  -5.09516051E+00   8.68330366E-02
    231  -5.18210290E+00  -5.09585807E+00   8.62448257E-02
    232  -5.18221224E+00  -5.09655563E+00   8.56566149E-02
    233  -5.18250832E+00  -5.09681867E+00   8.56896517E-02
    234  -5.18280440E+00  -5.09708171E+00   8.57226885E-02
    235  -5.18289194E+00  -5.09726126E+00   8.56306749E-02
    236  -5.18297947E+00  -5.09744081E+00   8.55386612E-02
    237  -5.18309456E+00  -5.09757544E+00   8.55191175E-02
    238  -5.18313083E+00  -5.09762849E+00   8.55023376E-02
    239  -5.18321393E+00  -5.09771535E+00   8.54985805E-02
    240  -5.18329703E+00  -5.09780221E+00   8.54948233E-02
    241  -5.18331006E+00  -5.09786676E+00   8.54432974E-02
    242  -5.18330766E+00  -5.09787122E+00   8.54364446E-02
    243  -5.18332611E+00  -5.09790673E+00   8.54193845E-02
    244  -5.18437679E+00  -5.09806768E+00   8.63091144E-02
    245  -5.18439710E+00  -5.09809105E+00   8.63060544E-02
    246  -5.18441265E+00  -5.09811152E+00   8.63011283E-02
    247  -5.18442820E+00  -5.09813200E+00   8.62962023E-02
    248  -5.18442866E+00  -5.09813352E+00   8.62951396E-02
    249  -5.18443424E+00  -5.09818107E+00   8.62531695E-02
    250  -5.18444119E+00  -5.09822115E+00   8.62200420E-02
    251  -5.18444814E+00  -5.09826122E+00   8.61869145E-02
    252  -5.18445106E+00  -5.09826567E+00   8.61853830E-02
    253  -5.19527874E+00  -5.10153077E+00   9.37479692E-02
    254  -5.19651784E+00  -5.10806836E+00   8.84494725E-02
    255  -5.19775693E+00  -5.11460596E+00   8.31509759E-02
    256  -5.19996266E+00  -5.12358444E+00   7.63782199E-02
    257  -5.20216839E+00  -5.13256293E+00   6.96054641E-02
    258  -5.20550948E+00  -5.14633860E+00   5.91708750E-02
    259  -5.21165131E+00  -5.14706640E+00   6.45849127E-02
    260  -5.21917308E+00  -5.15148372E+00   6.76893565E-02
    261  -5.23808245E+00  -5.15912685E+00   7.89556010E-02
    262  -5.25699183E+00  -5.16676998E+00   9.02218454E-02
    263  -5.26760341E+00  -5.16791262E+00   9.96907834E-02
    264  -5.26929135E+00  -5.17493868E+00   9.43526738E-02
    265  -5.27097929E+00  -5.18196473E+00   8.90145641E-02
    266  -5.27355589E+00  -5.18328771E+00   9.02681808E-02
    267  -5.27744073E+00  -5.20255435E+00   7.48863873E-02
    268  -5.27771153E+00  -5.20483697E+00   7.28745588E-02
    269  -5.28202290E+00  -5.22233668E+00   5.96862120E-02
    270  -5.28236422E+00  -5.22448708E+00   5.78771428E-02
    271  -5.28671484E+00  -5.22514634E+00   6.15685054E-02
    272  -5.29451272E+00  -5.22882848E+00   6.56842429E-02
    273  -5.30231060E+00  -5.23251062E+00   6.97999805E-02
    274  -5.30661009E+00  -5.23443950E+00   7.21705870E-02
    275  -5.30902375E+00  -5.24124644E+00   6.77773121E-02
    276  -5.30967655E+00  -5.24296090E+00   6.67156466E-02
    277  -5.31032934E+00  -5.24467536E+00   6.56539812E-02
    278  -5.31095878E+00  -5.24588431E+00   6.50744726E-02
    279  -5.31158823E+00  -5.24709326E+00   6.44949640E-02
    280  -5.31231497E+00  -5.24764785E+00   6.46671210E-02
    281  -5.31279147E+00  -5.24850054E+00   6.42909240E-02
    282  -5.31326796E+00  -5.24935324E+00   6.39147271E-02
    283  -5.31338096E+00  -5.24957064E+00   6.38103180E-02
    284  -5.31466952E+00  -5.24987596E+00   6.47935623E-02
    285  -5.31503094E+00  -5.25006280E+00   6.49681358E-02
    286  -5.31531049E+00  -5.25041495E+00   6.48955402E-02
    287  -5.31594896E+00  -5.25158700E+00   6.43619520E-02
    288  -5.31622941E+00  -5.25186274E+00   6.43666739E-02
    289  -5.31650988E+00  -5.25213848E+00   6.43713971E-02
