# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
      15 -0.72083177E+01 -0.67529159E+01  0.45540180E+00  0.45615831E+00
      16 -0.72739721E+01 -0.68317510E+01  0.44222112E+00  0.45615831E+00
      17 -0.73397111E+01 -0.68995703E+01  0.44014086E+00  0.45615831E+00
      18 -0.74102157E+01 -0.69603225E+01  0.44989324E+00  0.45615831E+00
      19 -0.74659031E+01 -0.70181685E+01  0.44773462E+00  0.45615831E+00
      20 -0.75068718E+01 -0.70708212E+01  0.43605052E+00  0.45615831E+00
      21 -0.75495701E+01 -0.71163894E+01  0.43318067E+00  0.45615831E+00
      22 -0.75913993E+01 -0.71570903E+01  0.43430895E+00  0.45615831E+00
      23 -0.76289049E+01 -0.71939045E+01  0.43500045E+00  0.45615831E+00
      24 -0.76603980E+01 -0.72280386E+01  0.43235944E+00  0.45615831E+00
      25 -0.76911977E+01 -0.72581524E+01  0.43304525E+00  0.45615831E+00
      26 -0.77163008E+01 -0.72856256E+01  0.43067518E+00  0.45615831E+00
      27 -0.77452439E+01 -0.73120044E+01  0.43323941E+00  0.45615831E+00
      28 -0.77672205E+01 -0.73365949E+01  0.43062559E+00  0.45615831E+00
      29 -0.77873065E+01 -0.73575856E+01  0.42972088E+00  0.45615831E+00
      30 -0.78080210E+01 -0.73773590E+01  0.43066199E+00  0.45615831E+00
      31 -0.78292235E+01 -0.73966440E+01  0.43257950E+00  0.45615831E+00
      32 -0.78471567E+01 -0.74149573E+01  0.43219939E+00  0.45615831E+00
# k =  0.00000000E+00  0.20000000E+00  0.80000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.81249640E+00 -0.78851392E+00  0.23982478E-01  0.18353578E+00
       2 -0.18427918E+01 -0.14884106E+01  0.35438117E+00  0.18353578E+00
       3 -0.28743664E+01 -0.20904736E+01  0.78389274E+00  0.18353578E+00
       4 -0.51539027E+01 -0.25797573E+01  0.25741454E+01  0.18353578E+00
       5 -0.53963503E+01 -0.42846976E+01  0.11116528E+01  0.18353578E+00
       6 -0.57011794E+01 -0.47530863E+01  0.94809308E+00  0.18353578E+00
       7 -0.60487443E+01 -0.54540827E+01  0.59466161E+00  0.18353578E+00
       8 -0.63490765E+01 -0.58785522E+01  0.47052431E+00  0.18353578E+00
       9 -0.65693154E+01 -0.61619591E+01  0.40735630E+00  0.18353578E+00
      10 -0.67815931E+01 -0.63915252E+01  0.39006789E+00  0.18353578E+00
      11 -0.69118887E+01 -0.65951722E+01  0.31671654E+00  0.18353578E+00
      12 -0.70373061E+01 -0.67467420E+01  0.29056411E+00  0.18353578E+00
      13 -0.71433151E+01 -0.68866768E+01  0.25663833E+00  0.18353578E+00
      14 -0.72583851E+01 -0.70109736E+01  0.24741148E+00  0.18353578E+00
      15 -0.73306824E+01 -0.71121780E+01  0.21850438E+00  0.18353578E+00
      16 -0.73985068E+01 -0.71959893E+01  0.20251745E+00  0.18353578E+00
      17 -0.74708775E+01 -0.72771159E+01  0.19376154E+00  0.18353578E+00
      18 -0.75495817E+01 -0.73471161E+01  0.20246562E+00  0.18353578E+00
      19 -0.76106662E+01 -0.74140552E+01  0.19661099E+00  0.18353578E+00
      20 -0.76516895E+01 -0.74685225E+01  0.18316696E+00  0.18353578E+00
      21 -0.76987989E+01 -0.75194480E+01  0.17935082E+00  0.18353578E+00
      22 -0.77441074E+01 -0.75640833E+01  0.18002406E+00  0.18353578E+00
      23 -0.77855076E+01 -0.76072688E+01  0.17823879E+00  0.18353578E+00
      24 -0.78190957E+01 -0.76447840E+01  0.17431170E+00  0.18353578E+00
      25 -0.78519033E+01 -0.76774193E+01  0.17448398E+00  0.18353578E+00
      26 -0.78798874E+01 -0.77088641E+01  0.17102337E+00  0.18353578E+00
      27 -0.79122499E+01 -0.77374310E+01  0.17481890E+00  0.18353578E+00
      28 -0.79360710E+01 -0.77645101E+01  0.17156087E+00  0.18353578E+00
      29 -0.79574101E+01 -0.77878533E+01  0.16955682E+00  0.18353578E+00
      30 -0.79798643E+01 -0.78096672E+01  0.17019716E+00  0.18353578E+00
      31 -0.80032509E+01 -0.78317516E+01  0.17149925E+00  0.18353578E+00
      32 -0.80232821E+01 -0.78524147E+01  0.17086735E+00  0.18353578E+00
# k =  0.00000000E+00  0.40000000E+00  0.40000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.99427405E+00 -0.69338036E+00  0.30089369E+00  0.59021751E+00
       2 -0.18563977E+01 -0.12754927E+01  0.58090497E+00  0.59021751E+00
       3 -0.31137539E+01 -0.20264665E+01  0.10872874E+01  0.59021751E+00
       4 -0.51075236E+01 -0.23235778E+01  0.27839459E+01  0.59021751E+00
       5 -0.54583329E+01 -0.43365992E+01  0.11217337E+01  0.59021751E+00
       6 -0.57560149E+01 -0.49841931E+01  0.77182182E+00  0.59021751E+00
       7 -0.60345463E+01 -0.53348358E+01  0.69971052E+00  0.59021751E+00
       8 -0.62602944E+01 -0.56106619E+01  0.64963247E+00  0.59021751E+00
       9 -0.64427629E+01 -0.57939287E+01  0.64883415E+00  0.59021751E+00
      10 -0.66032315E+01 -0.59659895E+01  0.63724194E+00  0.59021751E+00
      11 -0.67094787E+01 -0.61280936E+01  0.58138511E+00  0.59021751E+00
      12 -0.68225941E+01 -0.62421030E+01  0.58049112E+00  0.59021751E+00
      13 -0.69222723E+01 -0.63586220E+01  0.56365035E+00  0.59021751E+00
      14 -0.70304149E+01 -0.64502529E+01  0.58016208E+00  0.59021751E+00
      15 -0.70951156E+01 -0.65291932E+01  0.56592240E+00  0.59021751E+00
      16 -0.71546603E+01 -0.65997770E+01  0.55488323E+00  0.59021751E+00
      17 -0.72121330E+01 -0.66586886E+01  0.55344433E+00  0.59021751E+00
      18 -0.72720704E+01 -0.67113740E+01  0.56069643E+00  0.59021751E+00
      19 -0.73221355E+01 -0.67622780E+01  0.55985750E+00  0.59021751E+00
      20 -0.73645715E+01 -0.68073694E+01  0.55720218E+00  0.59021751E+00
      21 -0.74012482E+01 -0.68453594E+01  0.55588877E+00  0.59021751E+00
      22 -0.74404422E+01 -0.68811352E+01  0.55930695E+00  0.59021751E+00
      23 -0.74754833E+01 -0.69142684E+01  0.56121486E+00  0.59021751E+00
      24 -0.75031249E+01 -0.69448025E+01  0.55832245E+00  0.59021751E+00
      25 -0.75303352E+01 -0.69712048E+01  0.55913039E+00  0.59021751E+00
      26 -0.75542349E+01 -0.69948314E+01  0.55940350E+00  0.59021751E+00
      27 -0.75794150E+01 -0.70174859E+01  0.56192918E+00  0.59021751E+00
      28 -0.75992549E+01 -0.70385671E+01  0.56068775E+00  0.59021751E+00
      29 -0.76180991E+01 -0.70580222E+01  0.56007688E+00  0.59021751E+00
      30 -0.76366027E+01 -0.70754180E+01  0.56118464E+00  0.59021751E+00
      31 -0.76547922E+01 -0.70918753E+01  0.56291692E+00  0.59021751E+00
      32 -0.76702480E+01 -0.71073455E+01  0.56290257E+00  0.59021751E+00
# k =  0.00000000E+00  0.40000000E+00  0.60000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.95729507E+00 -0.65966515E+00  0.29762991E+00  0.64167225E+00
       2 -0.18244769E+01 -0.12335898E+01  0.59088710E+00  0.64167225E+00
       3 -0.29435731E+01 -0.18937683E+01  0.10498048E+01  0.64167225E+00
       4 -0.51185699E+01 -0.22509931E+01  0.28675768E+01  0.64167225E+00
       5 -0.54135864E+01 -0.41363692E+01  0.12772172E+01  0.64167225E+00
       6 -0.57383298E+01 -0.48679361E+01  0.87039368E+00  0.64167225E+00
       7 -0.60472531E+01 -0.52377779E+01  0.80947514E+00  0.64167225E+00
       8 -0.62681381E+01 -0.55352818E+01  0.73285628E+00  0.64167225E+00
