# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1       1    -0.47639     0.14818     0.03184   -3.137446269   -3.751147918   -0.613701650
     1       1    -0.41516     0.20942    -0.02939   -3.518369415   -4.128749882   -0.610380467
     1       1    -0.35392     0.27065    -0.09062   -3.685720618   -4.282869468   -0.597148849
     1       1    -0.23146     0.27065    -0.09062   -4.394061573   -4.944401165   -0.550339593
     1       1    -0.17023     0.33188    -0.15186   -4.117287827   -4.688754866   -0.571467039
     1       1    -0.10899     0.39311    -0.21309   -3.618573461   -4.194655911   -0.576082450
     1       1    -0.04776     0.45434    -0.27432   -2.944361667   -3.560476358   -0.616114691
     1       1     0.01347     0.51558    -0.33555   -2.252146473   -2.869319019   -0.617172546
     1       1    -0.53762    -0.03551     0.21554   -2.377119009   -2.996138313   -0.619019304
     1       1    -0.47639     0.02572     0.15431   -3.124783786   -3.739751772   -0.614967986
     1       1    -0.41516     0.08695     0.09307   -3.777369617   -4.352246427   -0.574876810
     1       1    -0.35392     0.14818     0.03184   -4.222659571   -4.793765983   -0.571106412
     1       1    -0.29269     0.20942    -0.02939   -4.430829631   -4.979778373   -0.548948742
     1       1    -0.17023     0.20942    -0.02939   -5.052199904   -5.593448790   -0.541248886
     1       1    -0.10899     0.27065    -0.09062   -4.830595626   -5.390049361   -0.559453736
     1       1    -0.04776     0.33188    -0.15186   -4.365176210   -4.933473433   -0.568297223
     1       1     0.01347     0.39311    -0.21309   -3.691975842   -4.295975482   -0.603999640
     1       1     0.07470     0.45434    -0.27432   -2.955801389   -3.571437693   -0.615636305
     1       1    -0.47639    -0.09675     0.27677   -2.815309219   -3.430460822   -0.615151603
     1       1    -0.41516    -0.03551     0.21554   -3.493531055   -4.103990518   -0.610459463
     1       1    -0.35392     0.02572     0.15431   -4.207335724   -4.777892262   -0.570556538
     1       1    -0.29269     0.08695     0.09307   -4.732294010   -5.296460135   -0.564166125
     1       1    -0.23146     0.14818     0.03184   -5.018928553   -5.559566746   -0.540638193
     1       1    -0.10899     0.14818     0.03184   -5.492011521   -5.998004980   -0.505993459
     1       1    -0.04776     0.20942    -0.02939   -5.350559797   -5.866643737   -0.516083939
     1       1     0.01347     0.27065    -0.09062   -4.955882034   -5.477322188   -0.521440154
     1       1     0.07470     0.33188    -0.15186   -4.333743116   -4.902714964   -0.568971849
     1       1     0.13594     0.39311    -0.21309   -3.580825273   -4.157034258   -0.576208985
     1       1    -0.41516    -0.15798     0.33800   -3.150296908   -3.753745916   -0.603449008
     1       1    -0.35392    -0.09675     0.27677   -3.651089207   -4.250212090   -0.599122884
     1       1    -0.29269    -0.03551     0.21554   -4.399986866   -4.948940145   -0.548953279
     1       1    -0.23146     0.02572     0.15431   -5.002271387   -5.544567065   -0.542295677
     1       1    -0.17023     0.08695     0.09307   -5.374181512   -5.881147738   -0.506966226
     1       1    -0.10899     0.14818     0.15431   -5.234909394   -5.741042582   -0.506133188
     1       1    -0.04776     0.20942     0.09307   -5.263172068   -5.777090954   -0.513918886
