# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
      19 -0.70384118E+01 -0.66446813E+01  0.39373043E+00  0.30951439E+00
      20 -0.70797835E+01 -0.66888552E+01  0.39092833E+00  0.30951439E+00
      21 -0.71137921E+01 -0.67215032E+01  0.39228890E+00  0.30951439E+00
      22 -0.71546258E+01 -0.67579084E+01  0.39671733E+00  0.30951439E+00
      23 -0.71857298E+01 -0.67932473E+01  0.39248251E+00  0.30951439E+00
      24 -0.72172197E+01 -0.68261799E+01  0.39103980E+00  0.30951439E+00
      25 -0.72444063E+01 -0.68504042E+01  0.39400209E+00  0.30951439E+00
      26 -0.72733037E+01 -0.68758437E+01  0.39746004E+00  0.30951439E+00
      27 -0.72981527E+01 -0.69003918E+01  0.39776093E+00  0.30951439E+00
      28 -0.73172722E+01 -0.69207377E+01  0.39653459E+00  0.30951439E+00
      29 -0.73351326E+01 -0.69421157E+01  0.39301696E+00  0.30951439E+00
      30 -0.73504043E+01 -0.69604073E+01  0.38999699E+00  0.30951439E+00
      31 -0.73654484E+01 -0.69773351E+01  0.38811328E+00  0.30951439E+00
# k =  0.00000000E+00  0.20000000E+00  0.40000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.88025650E+00 -0.66453356E+00  0.21572294E+00  0.29170905E+00
       2 -0.18086929E+01 -0.12368844E+01  0.57180846E+00  0.29170905E+00
       3 -0.29043606E+01 -0.18811597E+01  0.10232009E+01  0.29170905E+00
       4 -0.49695700E+01 -0.23122479E+01  0.26573221E+01  0.29170905E+00
       5 -0.52345301E+01 -0.40705323E+01  0.11639977E+01  0.29170905E+00
       6 -0.55263105E+01 -0.47181231E+01  0.80818736E+00  0.29170905E+00
       7 -0.58052638E+01 -0.51269242E+01  0.67833958E+00  0.29170905E+00
       8 -0.60168925E+01 -0.54137756E+01  0.60311696E+00  0.29170905E+00
       9 -0.62178678E+01 -0.56366772E+01  0.58119056E+00  0.29170905E+00
      10 -0.63669376E+01 -0.58281890E+01  0.53874867E+00  0.29170905E+00
      11 -0.64728064E+01 -0.59938568E+01  0.47894958E+00  0.29170905E+00
      12 -0.65695993E+01 -0.61133774E+01  0.45622190E+00  0.29170905E+00
      13 -0.66567475E+01 -0.62242693E+01  0.43247825E+00  0.29170905E+00
      14 -0.67325498E+01 -0.63219418E+01  0.41060799E+00  0.29170905E+00
      15 -0.67941299E+01 -0.63995125E+01  0.39461740E+00  0.29170905E+00
      16 -0.68515280E+01 -0.64645533E+01  0.38697476E+00  0.29170905E+00
      17 -0.69083496E+01 -0.65271486E+01  0.38120104E+00  0.29170905E+00
      18 -0.69564741E+01 -0.65813114E+01  0.37516271E+00  0.29170905E+00
      19 -0.70010792E+01 -0.66290029E+01  0.37207627E+00  0.29170905E+00
      20 -0.70431103E+01 -0.66747555E+01  0.36835485E+00  0.29170905E+00
      21 -0.70774733E+01 -0.67128313E+01  0.36464202E+00  0.29170905E+00
      22 -0.71142532E+01 -0.67484731E+01  0.36578008E+00  0.29170905E+00
      23 -0.71439444E+01 -0.67820848E+01  0.36185959E+00  0.29170905E+00
      24 -0.71725368E+01 -0.68125717E+01  0.35996508E+00  0.29170905E+00
      25 -0.71977643E+01 -0.68384262E+01  0.35933813E+00  0.29170905E+00
      26 -0.72256190E+01 -0.68648705E+01  0.36074852E+00  0.29170905E+00
      27 -0.72495890E+01 -0.68900784E+01  0.35951052E+00  0.29170905E+00
      28 -0.72678481E+01 -0.69105678E+01  0.35728031E+00  0.29170905E+00
      29 -0.72859418E+01 -0.69313404E+01  0.35460142E+00  0.29170905E+00
      30 -0.73013458E+01 -0.69487481E+01  0.35259768E+00  0.29170905E+00
      31 -0.73164362E+01 -0.69655015E+01  0.35093471E+00  0.29170905E+00
# k =  0.00000000E+00  0.20000000E+00  0.60000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.86650535E+00 -0.68193806E+00  0.18456729E+00  0.31879433E+00
       2 -0.17564619E+01 -0.12619234E+01  0.49453848E+00  0.31879433E+00
       3 -0.27631880E+01 -0.18748832E+01  0.88830472E+00  0.31879433E+00
       4 -0.50070925E+01 -0.23050714E+01  0.27020211E+01  0.31879433E+00
       5 -0.52511411E+01 -0.40453945E+01  0.12057467E+01  0.31879433E+00
       6 -0.55255921E+01 -0.46089406E+01  0.91665150E+00  0.31879433E+00
       7 -0.58320193E+01 -0.51252370E+01  0.70678229E+00  0.31879433E+00
       8 -0.60602364E+01 -0.54313761E+01  0.62886031E+00  0.31879433E+00
       9 -0.62537700E+01 -0.56554149E+01  0.59835517E+00  0.31879433E+00
      10 -0.64109716E+01 -0.58571081E+01  0.55386350E+00  0.31879433E+00
      11 -0.65175549E+01 -0.60184066E+01  0.49914838E+00  0.31879433E+00
      12 -0.66165066E+01 -0.61372815E+01  0.47922511E+00  0.31879433E+00
      13 -0.67040096E+01 -0.62482363E+01  0.45577324E+00  0.31879433E+00
      14 -0.67809878E+01 -0.63497639E+01  0.43122386E+00  0.31879433E+00
      15 -0.68454150E+01 -0.64337770E+01  0.41163800E+00  0.31879433E+00
      16 -0.69035016E+01 -0.64974550E+01  0.40604659E+00  0.31879433E+00
      17 -0.69626160E+01 -0.65620290E+01  0.40058695E+00  0.31879433E+00
      18 -0.70117556E+01 -0.66160085E+01  0.39574711E+00  0.31879433E+00
      19 -0.70578551E+01 -0.66654155E+01  0.39243959E+00  0.31879433E+00
      20 -0.71012836E+01 -0.67137944E+01  0.38748920E+00  0.31879433E+00
      21 -0.71380706E+01 -0.67548253E+01  0.38324526E+00  0.31879433E+00
      22 -0.71756362E+01 -0.67901970E+01  0.38543921E+00  0.31879433E+00
      23 -0.72055413E+01 -0.68234959E+01  0.38204547E+00  0.31879433E+00
      24 -0.72344847E+01 -0.68533695E+01  0.38111521E+00  0.31879433E+00
      25 -0.72604499E+01 -0.68801000E+01  0.38034990E+00  0.31879433E+00
      26 -0.72895378E+01 -0.69078858E+01  0.38165200E+00  0.31879433E+00
      27 -0.73144439E+01 -0.69339365E+01  0.38050740E+00  0.31879433E+00
      28 -0.73333268E+01 -0.69550038E+01  0.37832305E+00  0.31879433E+00
      29 -0.73513838E+01 -0.69755263E+01  0.37585754E+00  0.31879433E+00
      30 -0.73672626E+01 -0.69930581E+01  0.37420457E+00  0.31879433E+00
      31 -0.73829337E+01 -0.70103715E+01  0.37256221E+00  0.31879433E+00
# k =  0.00000000E+00  0.20000000E+00  0.80000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.80937324E+00 -0.76731862E+00  0.42054622E-01  0.14956947E+00
       2 -0.18178800E+01 -0.14382191E+01  0.37966094E+00  0.14956947E+00
       3 -0.28702196E+01 -0.20368283E+01  0.83339126E+00  0.14956947E+00
       4 -0.50638583E+01 -0.24744417E+01  0.25894166E+01  0.14956947E+00
       5 -0.52750988E+01 -0.41063783E+01  0.11687204E+01  0.14956947E+00
       6 -0.55252303E+01 -0.45976057E+01  0.92762459E+00  0.14956947E+00
       7 -0.58483535E+01 -0.51969495E+01  0.65140403E+00  0.14956947E+00
       8 -0.61126584E+01 -0.55618536E+01  0.55080486E+00  0.14956947E+00
       9 -0.63128552E+01 -0.58086449E+01  0.50421029E+00  0.14956947E+00
      10 -0.64922345E+01 -0.60429582E+01  0.44927635E+00  0.14956947E+00
      11 -0.66102939E+01 -0.62200905E+01  0.39020336E+00  0.14956947E+00
