# k =  0.00000000E+00  0.00000000E+00  0.00000000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
     103 -0.54944526E+01 -0.55113388E+01 -0.16886173E-01 -0.25160208E-01
     104 -0.54974619E+01 -0.55133790E+01 -0.15917091E-01 -0.25160208E-01
     105 -0.54995143E+01 -0.55158379E+01 -0.16323629E-01 -0.25160208E-01
     106 -0.55165640E+01 -0.55330633E+01 -0.16499295E-01 -0.25160208E-01
     107 -0.55358707E+01 -0.55565884E+01 -0.20717704E-01 -0.25160208E-01
     108 -0.55406604E+01 -0.55652439E+01 -0.24583468E-01 -0.25160208E-01
     109 -0.55443280E+01 -0.55697283E+01 -0.25400233E-01 -0.25160208E-01
     110 -0.55480492E+01 -0.55749667E+01 -0.26917540E-01 -0.25160208E-01
     111 -0.55508401E+01 -0.55787023E+01 -0.27862262E-01 -0.25160208E-01
     112 -0.55543136E+01 -0.55820074E+01 -0.27693722E-01 -0.25160208E-01
     113 -0.55654368E+01 -0.55931240E+01 -0.27687147E-01 -0.25160208E-01
     114 -0.55748973E+01 -0.56034985E+01 -0.28601219E-01 -0.25160208E-01
     115 -0.55766454E+01 -0.56064599E+01 -0.29814532E-01 -0.25160208E-01
     116 -0.55805818E+01 -0.56109144E+01 -0.30332643E-01 -0.25160208E-01
     117 -0.55841195E+01 -0.56148402E+01 -0.30720755E-01 -0.25160208E-01
     118 -0.55875016E+01 -0.56184317E+01 -0.30930014E-01 -0.25160208E-01
     119 -0.55908049E+01 -0.56222448E+01 -0.31439908E-01 -0.25160208E-01
     120 -0.55936681E+01 -0.56253431E+01 -0.31675026E-01 -0.25160208E-01
     121 -0.55956126E+01 -0.56278130E+01 -0.32200404E-01 -0.25160208E-01
     122 -0.55977800E+01 -0.56302278E+01 -0.32447824E-01 -0.25160208E-01
     123 -0.55999781E+01 -0.56330375E+01 -0.33059454E-01 -0.25160208E-01
     124 -0.56029029E+01 -0.56368639E+01 -0.33960968E-01 -0.25160208E-01
     125 -0.56055713E+01 -0.56399701E+01 -0.34398776E-01 -0.25160208E-01
     126 -0.56091577E+01 -0.56440030E+01 -0.34845327E-01 -0.25160208E-01
     127 -0.56116532E+01 -0.56470069E+01 -0.35353760E-01 -0.25160208E-01
     128 -0.56155244E+01 -0.56498628E+01 -0.34338373E-01 -0.25160208E-01
     129 -0.56172112E+01 -0.56512832E+01 -0.34072027E-01 -0.25160208E-01
     130 -0.56196738E+01 -0.56541995E+01 -0.34525706E-01 -0.25160208E-01
     131 -0.56222388E+01 -0.56574129E+01 -0.35174072E-01 -0.25160208E-01
     132 -0.56253497E+01 -0.56613012E+01 -0.35951495E-01 -0.25160208E-01
# k =  0.00000000E+00  0.00000000E+00  0.12500000E+00 spin= 1
 # n1 <i|Sigma_ch|i> (eV), partial sum
 #      nbands   ch(vbm)          ch(cbm)           diff        converged
       1 -0.14054346E-01 -0.15544225E-01 -0.14898788E-02 -0.11010938E+00
       2 -0.29931194E-01 -0.30296707E-01 -0.36551342E-03 -0.11010938E+00
       3 -0.45586286E-01 -0.46763299E-01 -0.11770134E-02 -0.11010938E+00
       4 -0.63689090E-01 -0.64798572E-01 -0.11094820E-02 -0.11010938E+00
       5 -0.82096432E-01 -0.83158230E-01 -0.10617981E-02 -0.11010938E+00
       6 -0.10006150E+00 -0.10432784E+00 -0.42663336E-02 -0.11010938E+00
       7 -0.11984262E+00 -0.12584617E+00 -0.60035553E-02 -0.11010938E+00
       8 -0.13576451E+00 -0.15294730E+00 -0.17182788E-01 -0.11010938E+00
       9 -0.15472621E+00 -0.17642480E+00 -0.21698592E-01 -0.11010938E+00
      10 -0.17209184E+00 -0.20075237E+00 -0.28660530E-01 -0.11010938E+00
      11 -0.18797064E+00 -0.22012547E+00 -0.32154821E-01 -0.11010938E+00
      12 -0.20715713E+00 -0.23868552E+00 -0.31528394E-01 -0.11010938E+00
      13 -0.22119279E+00 -0.26289430E+00 -0.41701509E-01 -0.11010938E+00
      14 -0.24666537E+00 -0.28419946E+00 -0.37534086E-01 -0.11010938E+00
      15 -0.27305731E+00 -0.31640861E+00 -0.43351308E-01 -0.11010938E+00
      16 -0.29744924E+00 -0.34823557E+00 -0.50786326E-01 -0.11010938E+00
      17 -0.30606824E+00 -0.37557208E+00 -0.69503843E-01 -0.11010938E+00
      18 -0.33170542E+00 -0.40599644E+00 -0.74291026E-01 -0.11010938E+00
      19 -0.34117143E+00 -0.43636816E+00 -0.95196726E-01 -0.11010938E+00
      20 -0.35725824E+00 -0.46298554E+00 -0.10572731E+00 -0.11010938E+00
      21 -0.36933625E+00 -0.49003914E+00 -0.12070289E+00 -0.11010938E+00
      22 -0.38568618E+00 -0.51744505E+00 -0.13175886E+00 -0.11010938E+00
      23 -0.39907948E+00 -0.55212474E+00 -0.15304526E+00 -0.11010938E+00
      24 -0.41284727E+00 -0.58322937E+00 -0.17038209E+00 -0.11010938E+00
      25 -0.42533190E+00 -0.60828227E+00 -0.18295037E+00 -0.11010938E+00
