
 a1 =   6.141609905   0.000000000   0.000000000
 a2 =  -3.070804952   5.318790197   0.000000000
 a3 =   0.000000000   0.000000000   9.826575848

 b1 =   1.023051839   0.590659255  -0.000000000
 b2 =   0.000000000   1.181318509   0.000000000
 b3 =   0.000000000  -0.000000000   0.639407399

 volume = 320.994283565

 cutoff = 40.000000000

 grid = ( 13 13 19 ) -- minimal
        ( 13 13 20 ) -- factors 2, 3, 5, 7, 1*11, 1*13
        ( 15 15 20 ) -- factors 2, 3, 5

 gmax = ( 6 6 9 )

 ng = 1387

     n   g1    g2    g3     gx        gy        gz        ekin
   134    -4     3     0    -4.092     1.181     0.000    18.141674463
   135    -4     3     1    -4.092     1.181     0.639    18.550516285
   136    -4     3     2    -4.092     1.181     1.279    19.777041752
   137    -4     3     3    -4.092     1.181     1.918    21.821250864
   138    -4     3     4    -4.092     1.181     2.558    24.683143620
   139    -4     3     5    -4.092     1.181     3.197    28.362720021
   140    -4     3     6    -4.092     1.181     3.836    32.859980066
   141    -4     3     7    -4.092     1.181     4.476    38.174923756
   142    -4     4    -6    -4.092     2.363    -3.836    37.046520329
   143    -4     4    -5    -4.092     2.363    -3.197    32.549260283
   144    -4     4    -4    -4.092     2.363    -2.558    28.869683883
   145    -4     4    -3    -4.092     2.363    -1.918    26.007791126
   146    -4     4    -2    -4.092     2.363    -1.279    23.963582015
   147    -4     4    -1    -4.092     2.363    -0.639    22.737056548
   148    -4     4     0    -4.092     2.363     0.000    22.328214726
   149    -4     4     1    -4.092     2.363     0.639    22.737056548
   150    -4     4     2    -4.092     2.363     1.279    23.963582015
   151    -4     4     3    -4.092     2.363     1.918    26.007791126
   152    -4     4     4    -4.092     2.363     2.558    28.869683883
   153    -4     4     5    -4.092     2.363     3.197    32.549260283
   154    -4     4     6    -4.092     2.363     3.836    37.046520329
   155    -4     5    -5    -4.092     3.544    -3.197    39.526827387
   156    -4     5    -4    -4.092     3.544    -2.558    35.847250986
   157    -4     5    -3    -4.092     3.544    -1.918    32.985358230
   158    -4     5    -2    -4.092     3.544    -1.279    30.941149119
   159    -4     5    -1    -4.092     3.544    -0.639    29.714623652
   160    -4     5     0    -4.092     3.544     0.000    29.305781830
   161    -4     5     1    -4.092     3.544     0.639    29.714623652
   162    -4     5     2    -4.092     3.544     1.279    30.941149119
   163    -4     5     3    -4.092     3.544     1.918    32.985358230
   164    -4     5     4    -4.092     3.544     2.558    35.847250986
   165    -4     5     5    -4.092     3.544     3.197    39.526827387
   166    -4     6    -1    -4.092     4.725    -0.639    39.483217597
   167    -4     6     0    -4.092     4.725     0.000    39.074375775
   168    -4     6     1    -4.092     4.725     0.639    39.483217597
   169    -3    -3    -2    -3.069    -5.316    -1.279    39.314229639
   170    -3    -3    -1    -3.069    -5.316    -0.639    38.087704172
   171    -3    -3     0    -3.069    -5.316     0.000    37.678862350
   172    -3    -3     1    -3.069    -5.316     0.639    38.087704172
   173    -3    -3     2    -3.069    -5.316     1.279    39.314229639
   174    -3    -2    -5    -3.069    -4.135    -3.197    36.735800543
   175    -3    -2    -4    -3.069    -4.135    -2.558    33.056224143
   176    -3    -2    -3    -3.069    -4.135    -1.918    30.194331386
   177    -3    -2    -2    -3.069    -4.135    -1.279    28.150122275
   178    -3    -2    -1    -3.069    -4.135    -0.639    26.923596808
   179    -3    -2     0    -3.069    -4.135     0.000    26.514754986
   180    -3    -2     1    -3.069    -4.135     0.639    26.923596808
   181    -3    -2     2    -3.069    -4.135     1.279    28.150122275
   182    -3    -2     3    -3.069    -4.135     1.918    30.194331386
   183    -3    -2     4    -3.069    -4.135     2.558    33.056224143
   184    -3    -2     5    -3.069    -4.135     3.197    36.735800543
   185    -3    -1    -7    -3.069    -2.953    -4.476    38.174923756
   186    -3    -1    -6    -3.069    -2.953    -3.836    32.859980066
   187    -3    -1    -5    -3.069    -2.953    -3.197    28.362720020
   188    -3    -1    -4    -3.069    -2.953    -2.558    24.683143620
   189    -3    -1    -3    -3.069    -2.953    -1.918    21.821250864
   190    -3    -1    -2    -3.069    -2.953    -1.279    19.777041752
   191    -3    -1    -1    -3.069    -2.953    -0.639    18.550516285
   192    -3    -1     0    -3.069    -2.953     0.000    18.141674463
   193    -3    -1     1    -3.069    -2.953     0.639    18.550516285
   194    -3    -1     2    -3.069    -2.953     1.279    19.777041752
   195    -3    -1     3    -3.069    -2.953     1.918    21.821250864
   196    -3    -1     4    -3.069    -2.953     2.558    24.683143620
   197    -3    -1     5    -3.069    -2.953     3.197    28.362720020
   198    -3    -1     6    -3.069    -2.953     3.836    32.859980066
   199    -3    -1     7    -3.069    -2.953     4.476    38.174923756
   200    -3     0    -8    -3.069    -1.772    -5.115    38.725497409
   201    -3     0    -7    -3.069    -1.772    -4.476    32.592870074
   202    -3     0    -6    -3.069    -1.772    -3.836    27.277926384
   203    -3     0    -5    -3.069    -1.772    -3.197    22.780666339
   204    -3     0    -4    -3.069    -1.772    -2.558    19.101089938
   205    -3     0    -3    -3.069    -1.772    -1.918    16.239197182
   206    -3     0    -2    -3.069    -1.772    -1.279    14.194988070
